school,year,games,wins,losses,ties,preseason_rank,postseason_rank,srs,sp_overall,sp_offense,sp_defense,first_name,last_name,hire_date
Western Kentucky,2014,13,8,5,0,,,0.6,-2.6,40.1,41.6,Jeff,Brohm,
Western Kentucky,2015,14,12,2,0,,24,9.7,10.8,40.1,29.8,Jeff,Brohm,
Western Kentucky,2016,13,10,3,0,,,10.1,15.5,40.7,25.8,Jeff,Brohm,
Purdue,2017,13,7,6,0,,,10.8,5.8,28.6,22.1,Jeff,Brohm,
Purdue,2018,13,6,7,0,,,7.6,6.5,37.2,30.8,Jeff,Brohm,
Purdue,2019,12,4,8,0,,,-0.5,-0.7,30.8,31,Jeff,Brohm,
Akron,2004,11,6,5,0,0,0,-13.9,-11.1,29.9,38.2,J.D.,Brookhart,
Akron,2005,13,7,6,0,0,0,-6.3,-5.8,19.9,25.7,J.D.,Brookhart,
Akron,2006,12,5,7,0,0,0,-10.6,-6.1,18,22.3,J.D.,Brookhart,
Akron,2007,12,4,8,0,0,0,-14.4,-17.6,16.3,34.1,J.D.,Brookhart,
Akron,2008,12,5,7,0,0,0,-7.0,-6.7,29,34.7,J.D.,Brookhart,
Akron,2009,12,3,9,0,0,0,-19.0,-17.8,16.3,31.9,J.D.,Brookhart,
Kentucky,2003,12,4,8,0,,,-1.1,-4.5,31.9,35.3,Rich,Brooks,
Kentucky,2004,11,2,9,0,,,-8.2,-7.1,25.4,32,Rich,Brooks,
Kentucky,2005,11,3,8,0,,,-10.5,-12.5,21.4,33.9,Rich,Brooks,
Kentucky,2006,13,8,5,0,,,4.3,1.7,33.3,30.8,Rich,Brooks,
Kentucky,2007,13,8,5,0,,,11.3,13.4,38.8,24.9,Rich,Brooks,
Kentucky,2008,13,7,6,0,,,2.0,-1.8,18.1,19.5,Rich,Brooks,
Kentucky,2009,13,7,6,0,,,6.7,2.1,23.8,23.1,Rich,Brooks,
Texas,1998,12,9,3,0,,15,15.3,18.9,46,31.9,Mack,Brown,
Texas,1999,14,9,5,0,17,21,10.0,16.2,39.3,25.6,Mack,Brown,
Texas,2000,12,9,3,0,7,12,17.6,15.9,41.1,28.5,Mack,Brown,
Texas,2001,13,11,2,0,5,5,22.4,23.1,43.8,23.2,Mack,Brown,
Texas,2002,13,11,2,0,4,6,20.9,24.2,41.1,18.7,Mack,Brown,
Texas,2003,13,10,3,0,5,12,17.5,22.7,46.7,28.3,Mack,Brown,
Texas,2004,12,11,1,0,7,5,19.7,24.7,43.1,20.3,Mack,Brown,
Texas,2005,13,13,0,0,2,1,31.0,35.3,47.6,12.2,Mack,Brown,
Texas,2006,13,10,3,0,3,13,14.6,21.9,37.4,16.4,Mack,Brown,
Texas,2007,13,10,3,0,4,10,11.4,25.8,43.4,18.9,Mack,Brown,
Texas,2008,13,12,1,0,11,4,28.7,36,50.3,15.8,Mack,Brown,
Texas,2009,14,13,1,0,2,2,24.4,30,37.6,9.2,Mack,Brown,
Texas,2010,12,5,7,0,5,,1.3,10.6,24.8,15.3,Mack,Brown,
Texas,2011,13,8,5,0,,,12.7,18.6,31.1,13,Mack,Brown,
Texas,2012,13,9,4,0,15,19,13.6,18.6,42.2,23.4,Mack,Brown,
Texas,2013,13,8,5,0,15,,9.7,10.5,29.4,20.1,Mack,Brown,
North Carolina,2019,13,7,6,0,,,7.7,10.3,35.1,24.6,Mack,Brown,
Troy,2015,12,4,8,0,,,-9.9,-7,24.5,31.9,Neal,Brown,
Troy,2016,13,10,3,0,,,1.6,1.1,25.7,25.1,Neal,Brown,
Troy,2017,13,11,2,0,,,1.2,1.6,27.5,23.5,Neal,Brown,
Troy,2018,13,10,3,0,,,-1.4,2.6,26.4,25.6,Neal,Brown,
West Virginia,2019,12,5,7,0,,,-1.7,-7,22.9,29.1,Neal,Brown,
UAB,1998,11,4,7,0,,,-14.9,-17.7,21.9,37.2,Watson,Brown,
UAB,1999,11,5,6,0,,,-0.5,1.9,29.9,28.9,Watson,Brown,
UAB,2000,11,7,4,0,,,-0.1,1.4,24.4,23.3,Watson,Brown,
UAB,2001,11,6,5,0,,,-0.1,-1.2,24.7,26.1,Watson,Brown,
UAB,2002,12,5,7,0,,,-12.6,-15.6,25.7,38.5,Watson,Brown,
UAB,2003,12,5,7,0,,,-7.4,-8.1,23.5,30.9,Watson,Brown,
UAB,2004,12,7,5,0,,,-3.1,-3.2,35.4,37.5,Watson,Brown,
UAB,2005,11,5,6,0,,,-4.3,2.3,33.3,31,Watson,Brown,
UAB,2006,12,3,9,0,,,-10.0,-11.3,19.9,31.9,Watson,Brown,
North Carolina,2001,13,8,5,0,,,10.7,12.2,33.8,23.1,John,Bunting,
North Carolina,2002,12,3,9,0,,,-7.5,-4.4,30.7,34.7,John,Bunting,
North Carolina,2003,12,2,10,0,,,-5.0,-6.8,36.6,40.9,John,Bunting,
North Carolina,2004,12,6,6,0,,,5.8,12.8,39.6,28.7,John,Bunting,
North Carolina,2005,11,5,6,0,,,1.1,-3.5,19.9,23.4,John,Bunting,
North Carolina,2006,12,3,9,0,,,-8.6,-6.2,19.8,27.3,John,Bunting,
Tulsa,2000,12,5,7,0,,,-9.2,-13.3,20.6,32.4,Keith,Burns,
Tulsa,2001,11,1,10,0,,,-27.9,-28.1,19,42.4,Keith,Burns,
Tulsa,2002,12,1,11,0,,,-23.5,-28.5,19.9,42.8,Keith,Burns,
Louisiana,2002,12,3,9,0,,,-15.5,-19.6,18.7,36.5,Rickey,Bustle,
Louisiana,2003,12,4,8,0,,,-18.6,-21.3,25.4,42.2,Rickey,Bustle,
Louisiana,2004,11,4,7,0,,,-15.4,-15.9,23.2,36.5,Rickey,Bustle,
Louisiana,2005,11,6,5,0,,,-14.7,-17.7,20.8,38.5,Rickey,Bustle,
Louisiana,2006,12,6,6,0,,,-15.0,-19.3,11.4,30.3,Rickey,Bustle,
Louisiana,2007,12,3,9,0,,,-14.3,-22.3,21,42.4,Rickey,Bustle,
Louisiana,2008,12,6,6,0,,,-9.0,-11.1,29.3,39.9,Rickey,Bustle,
Louisiana,2009,12,6,6,0,,,-14.6,-23.8,13.5,37.5,Rickey,Bustle,
Louisiana,2010,12,3,9,0,,,-20.5,-28.2,15.5,41,Rickey,Bustle,
Wake Forest,1998,11,3,8,0,,,-4.3,-5.3,29,33.9,Jim,Caldwell,
Wake Forest,1999,12,7,5,0,,,6.5,4,25.5,22.2,Jim,Caldwell,
Wake Forest,2000,11,2,9,0,,,-15.2,-18.8,22.3,38.6,Jim,Caldwell,
Vanderbilt,2010,12,2,10,0,,,-11.0,-10,20.5,29.4,Robbie,Caldwell,
Air Force,2007,13,9,4,0,,,4.4,5.7,30.3,25.4,Troy,Calhoun,2006-12-22T00:00:00.000Z
Air Force,2008,13,8,5,0,,,1.0,-0.7,23,24.6,Troy,Calhoun,2006-12-22T00:00:00.000Z
Air Force,2009,13,8,5,0,,,6.7,4.7,21.3,17.4,Troy,Calhoun,2006-12-22T00:00:00.000Z
Air Force,2010,13,9,4,0,,,6.6,3.9,30.5,24.7,Troy,Calhoun,2006-12-22T00:00:00.000Z
Air Force,2011,13,7,6,0,,,-1.5,-0.7,32.9,33.9,Troy,Calhoun,2006-12-22T00:00:00.000Z
Air Force,2012,13,6,7,0,,,-10.7,-10,28,36.2,Troy,Calhoun,2006-12-22T00:00:00.000Z
Air Force,2013,12,2,10,0,,,-22.5,-16.9,26.6,45.2,Troy,Calhoun,2006-12-22T00:00:00.000Z
Air Force,2014,13,10,3,0,,,-1.2,-1.4,26.2,29.5,Troy,Calhoun,2006-12-22T00:00:00.000Z
Air Force,2015,14,8,6,0,,,0.2,4.7,32.6,29.2,Troy,Calhoun,2006-12-22T00:00:00.000Z
Air Force,2016,13,10,3,0,,,1.2,4.4,33,29.9,Troy,Calhoun,2006-12-22T00:00:00.000Z
Air Force,2017,12,5,7,0,,,-7.8,-11,28.8,40.5,Troy,Calhoun,2006-12-22T00:00:00.000Z
Air Force,2018,12,5,7,0,,,-1.8,-1.8,29.2,31.2,Troy,Calhoun,2006-12-22T00:00:00.000Z
Air Force,2019,13,11,2,0,,22,10.2,12.1,36.2,25.8,Troy,Calhoun,2006-12-22T00:00:00.000Z
Nebraska,2004,11,5,6,0,,,0.4,1.9,31.1,30.2,Bill,Callahan,
Nebraska,2005,12,8,4,0,,24,7.6,10.3,24.2,13.8,Bill,Callahan,
Nebraska,2006,14,9,5,0,20,,11.2,14.7,31.5,17.7,Bill,Callahan,
Nebraska,2007,12,5,7,0,20,,1.4,10,39.1,31.2,Bill,Callahan,
UAB,2007,12,2,10,0,,,-19.8,-21.7,17.8,41.2,Neil,Callaway,
UAB,2008,12,4,8,0,,,-13.7,-10.3,24.5,35.4,Neil,Callaway,
UAB,2009,12,5,7,0,,,-8.1,-6.8,30.4,36.9,Neil,Callaway,
UAB,2010,12,4,8,0,,,-12.2,-9.7,26,33.2,Neil,Callaway,
UAB,2011,12,3,9,0,,,-20.1,-19.2,22.9,42.8,Neil,Callaway,
Indiana,1998,11,4,7,0,,,0.2,1.5,30.9,30.4,Cam,Cameron,
Indiana,1999,11,4,7,0,,,-1.2,-4.6,35.7,38.9,Cam,Cameron,
Indiana,2000,11,3,8,0,,,-2.3,-2.2,40.8,41.8,Cam,Cameron,
Indiana,2001,11,5,6,0,,,6.6,7.7,36.5,30.9,Cam,Cameron,
Rutgers,2019,8,1,7,0,,,-16.7,-14.6,17.4,31.8,Nunzio,Campanile,
Toledo,2011,1,1,0,0,,,6.3,6.2,36,30,Matt,Campbell,
Toledo,2012,13,9,4,0,,,-2.7,-4,30.1,35.5,Matt,Campbell,
Toledo,2013,12,7,5,0,,,0.2,4.7,35.8,33.4,Matt,Campbell,
Toledo,2014,13,9,4,0,,,-4.1,2.3,38,35.2,Matt,Campbell,
Toledo,2015,11,9,2,0,,,10.2,7.7,30.4,21.8,Matt,Campbell,
Iowa State,2016,12,3,9,0,,,-1.7,0.7,27,28.5,Matt,Campbell,
Iowa State,2017,13,8,5,0,,,14.3,7.5,38.2,30.7,Matt,Campbell,
Iowa State,2018,13,8,5,0,,,11.4,7.9,29.9,21.5,Matt,Campbell,
Iowa State,2019,13,7,6,0,21,,13.6,12.6,31.8,19.5,Matt,Campbell,
South Alabama,2018,12,3,9,0,,,-22.1,-17.7,24.5,42,Steve,Campbell,
South Alabama,2019,12,2,10,0,,,-17.2,-20.3,16.3,34,Steve,Campbell,
Maryland,2018,12,5,7,0,,,4.0,3,27.6,25.9,Matt,Canada,
North Texas,2010,5,2,3,0,,,-15.5,-15.6,20.7,36.2,Mike,Canales,
Toledo,2015,1,1,0,0,,,10.2,7.7,30.4,21.8,Jason,Candle,2015-12-02T00:00:00.000Z
Toledo,2016,13,9,4,0,,,5.0,12.3,40.6,27.4,Jason,Candle,2015-12-02T00:00:00.000Z
Toledo,2017,14,11,3,0,,,3.8,6.6,32.2,25.7,Jason,Candle,2015-12-02T00:00:00.000Z
Toledo,2018,13,7,6,0,,,-1.6,2,35.2,34.4,Jason,Candle,2015-12-02T00:00:00.000Z
Toledo,2019,12,6,6,0,,,-16.2,-13.7,25.6,38.4,Jason,Candle,2015-12-02T00:00:00.000Z
San José State,2013,12,6,6,0,,,-5.6,-5.1,33,38.6,Ron,Caragher,
San José State,2014,12,3,9,0,,,-15.0,-11.5,22.1,30.5,Ron,Caragher,
San José State,2015,13,6,7,0,,,-6.9,-4.5,26.8,32,Ron,Caragher,
San José State,2016,12,4,8,0,,,-17.2,-13.6,22.4,36.7,Ron,Caragher,
Northern Illinois,2012,1,0,1,0,,22,5.1,12.4,35.6,25.4,Rod,Carey,
Northern Illinois,2013,14,12,2,0,,,4.6,6.3,36.6,29.8,Rod,Carey,
Northern Illinois,2014,14,11,3,0,,,-4.8,-0.6,29.8,29.6,Rod,Carey,
Northern Illinois,2015,14,8,6,0,,,-0.1,-0.9,26.1,25.4,Rod,Carey,
Northern Illinois,2016,12,5,7,0,,,-3.2,-2.4,32,32.7,Rod,Carey,
Northern Illinois,2017,13,8,5,0,,,-0.1,-1.4,21,20.5,Rod,Carey,
Northern Illinois,2018,14,8,6,0,,,-4.5,-2.7,19.1,20.8,Rod,Carey,
Temple,2019,13,8,5,0,,,-2.7,3.2,24.6,20.8,Rod,Carey,
Michigan,1998,13,10,3,0,5,12,14.1,19,35.9,18.9,Lloyd,Carr,
Michigan,1999,12,10,2,0,8,5,19.0,24.6,41.7,18.9,Lloyd,Carr,
Michigan,2000,12,9,3,0,6,11,16.0,19.1,40.1,23.7,Lloyd,Carr,
Michigan,2001,12,8,4,0,12,20,13.2,19.2,36.6,19.1,Lloyd,Carr,
Michigan,2002,13,10,3,0,12,9,13.8,21,39.1,19.1,Lloyd,Carr,
Michigan,2003,13,10,3,0,4,6,20.4,24,42.4,20,Lloyd,Carr,
Michigan,2004,12,9,3,0,8,14,13.2,17.5,40.3,25.5,Lloyd,Carr,
Michigan,2005,12,7,5,0,4,,17.9,18.1,33.9,15.8,Lloyd,Carr,
Michigan,2006,13,11,2,0,14,8,18.2,22.6,32.3,9.9,Lloyd,Carr,
Michigan,2007,13,9,4,0,5,18,11.6,13.3,32.5,18.1,Lloyd,Carr,
USC,2001,12,6,6,0,,,11.1,13.7,31.9,18.9,Pete,Carroll,
USC,2002,13,11,2,0,20,4,28.9,34.5,47.7,15.5,Pete,Carroll,
USC,2003,13,12,1,0,8,1,25.0,30.1,49.4,21.5,Pete,Carroll,
USC,2004,13,13,0,0,1,1,34.1,32.3,45.2,14.3,Pete,Carroll,
USC,2005,13,12,1,0,1,2,32.6,34.7,51.6,16.9,Pete,Carroll,
USC,2006,13,11,2,0,6,4,23.3,30.3,37.8,9.3,Pete,Carroll,
USC,2007,13,11,2,0,1,3,20.2,32,39,7.7,Pete,Carroll,
USC,2008,13,12,1,0,3,3,28.0,37,44.4,7.2,Pete,Carroll,
USC,2009,13,9,4,0,4,22,8.4,16.6,35.2,17.4,Pete,Carroll,
SMU,1998,12,5,7,0,,,-2.9,-2.2,22.6,25,Mike,Cavan,
SMU,1999,10,4,6,0,,,-14.1,-15,16.5,30.7,Mike,Cavan,
SMU,2000,12,3,9,0,,,-17.0,-19,17.8,35.3,Mike,Cavan,
SMU,2001,11,4,7,0,,,-12.8,-14.5,22.7,34.8,Mike,Cavan,
Coastal Carolina,2017,12,3,9,0,,,-17.4,,,,Jamey,Chadwell,
Coastal Carolina,2019,12,5,7,0,,,-11.1,-12.8,23.4,35.3,Jamey,Chadwell,
Tennessee,2012,1,1,0,0,,,4.2,15.1,42.6,28.3,Jim,Chaney,
Iowa State,2007,12,3,9,0,,,-6.6,-9.1,20.6,28,Gene,Chizik,
Iowa State,2008,12,2,10,0,,,-10.2,-2.8,29.2,33.2,Gene,Chizik,
Auburn,2009,13,8,5,0,,,10.7,17.4,35.6,19.6,Gene,Chizik,
Auburn,2010,14,14,0,0,22,1,23.9,26.5,49.4,22.7,Gene,Chizik,
Auburn,2011,13,8,5,0,23,,1.5,9,31.2,24,Gene,Chizik,
Auburn,2012,12,3,9,0,,,-1.6,4.8,28,25.1,Gene,Chizik,
Hawai'i,2012,12,3,9,0,,,-20.5,-19.1,14.7,32.8,Norm,Chow,
Hawai'i,2013,12,1,11,0,,,-12.6,-14.3,23.4,35.6,Norm,Chow,
Hawai'i,2014,13,4,9,0,,,-11.7,-15,15.7,30.6,Norm,Chow,
Hawai'i,2015,9,2,7,0,,,-21.7,-16.3,16.6,35.1,Norm,Chow,
Wyoming,2009,13,7,6,0,,,-8.7,-14.4,16.9,30.9,Dave,Christensen,
Wyoming,2010,12,3,9,0,,,-10.4,-13,20,33.9,Dave,Christensen,
Wyoming,2011,13,8,5,0,,,-7.6,-14.2,24.3,36.7,Dave,Christensen,
Wyoming,2012,12,4,8,0,,,-11.1,-14.2,26.6,39.2,Dave,Christensen,
Wyoming,2013,12,5,7,0,,,-14.8,-15.3,26.7,39.1,Dave,Christensen,
Pittsburgh,2012,13,6,7,0,,,7.1,5.7,27.5,21.5,Paul,Chryst,
Pittsburgh,2013,13,7,6,0,,,2.6,9.4,32.9,22.3,Paul,Chryst,
Pittsburgh,2014,12,6,6,0,,,2.8,14.1,37.4,25.3,Paul,Chryst,
Wisconsin,2015,13,10,3,0,20,21,10.0,15.1,27,12.4,Paul,Chryst,
Wisconsin,2016,14,11,3,0,,9,17.9,16.1,30.5,14.8,Paul,Chryst,
Wisconsin,2017,14,13,1,0,9,7,24.7,26.8,37.4,11.6,Paul,Chryst,
Wisconsin,2018,13,8,5,0,4,,8.8,15.5,39.3,21.6,Paul,Chryst,
Wisconsin,2019,14,10,4,0,19,11,19.9,20.3,37.7,16.4,Paul,Chryst,
Buffalo,1999,11,0,11,0,,,-31.9,-34.8,18.3,45.2,Craig,Cirbus,
Buffalo,2000,11,2,9,0,,,-27.9,-30.4,20.8,44.5,Craig,Cirbus,
Minnesota,2015,6,2,4,0,,,0.2,8.1,28.1,22.4,Tracy,Claeys,
Minnesota,2016,13,9,4,0,,,9.0,12.6,27.8,17.5,Tracy,Claeys,
UAB,2014,12,6,6,0,,,0.5,-4.2,26,32.8,Bill,Clark,2014-01-22T00:00:00.000Z
UAB,2017,13,8,5,0,,,-13.6,,,,Bill,Clark,2014-01-22T00:00:00.000Z
UAB,2018,14,11,3,0,,,0.6,-0.3,24.1,24.4,Bill,Clark,2014-01-22T00:00:00.000Z
UAB,2019,14,9,5,0,,,-7.9,-1.4,18.3,20.2,Bill,Clark,2014-01-22T00:00:00.000Z
Appalachian State,2019,1,1,0,0,,19,11.5,11.3,34.3,23.2,Shawn,Clark,2019-12-13T00:00:00.000Z
Bowling Green,2009,13,7,6,0,,,-5.6,-3.3,27.6,29,Dave,Clawson,
Bowling Green,2010,12,2,10,0,,,-20.2,-23.5,14.2,35.1,Dave,Clawson,
Bowling Green,2011,12,5,7,0,,,-9.1,-2,26.6,28.5,Dave,Clawson,
Bowling Green,2012,13,8,5,0,,,-5.3,-4,20.7,21.7,Dave,Clawson,
Bowling Green,2013,14,10,4,0,,,5.3,9.8,33.8,24.6,Dave,Clawson,
Wake Forest,2014,12,3,9,0,,,-10.8,-7.8,13.1,22.6,Dave,Clawson,
Wake Forest,2015,12,3,9,0,,,-3.5,-4.5,19.8,25.2,Dave,Clawson,
Wake Forest,2016,13,7,6,0,,,0.2,-0.6,21.5,22.9,Dave,Clawson,
Wake Forest,2017,13,8,5,0,,,13.8,10.5,35.7,25.1,Dave,Clawson,
Wake Forest,2018,13,7,6,0,,,0.8,3.6,31.2,28.1,Dave,Clawson,
Wake Forest,2019,13,8,5,0,,,0.6,2,29.4,28.6,Dave,Clawson,
Miami,2001,12,12,0,0,2,1,32.4,35.5,47,13.5,Larry,Coker,
Miami,2002,13,12,1,0,1,2,24.4,28.7,46.8,21.3,Larry,Coker,
Miami,2003,13,11,2,0,3,5,16.6,22.9,36.2,14.4,Larry,Coker,
Miami,2004,12,9,3,0,6,11,21.9,26.8,41.3,16.5,Larry,Coker,
Miami,2005,12,9,3,0,9,17,15.9,26,33,7,Larry,Coker,
Miami,2006,13,7,6,0,12,,2.8,13.9,23.6,9.3,Larry,Coker,
UT San Antonio,2012,12,8,4,0,,,-15.0,-20.1,23.5,42.4,Larry,Coker,
UT San Antonio,2013,12,7,5,0,,,-6.0,-6.6,25.9,30.3,Larry,Coker,
UT San Antonio,2014,12,4,8,0,,,-12.8,-3.4,16.6,22.1,Larry,Coker,
UT San Antonio,2015,12,3,9,0,,,-18.9,-17.7,19.3,36.6,Larry,Coker,
Temple,2017,13,7,6,0,,,-1.6,0.5,25.1,24.1,Geoff,Collins,
Temple,2018,12,8,4,0,,,3.7,2.9,28.1,23.9,Geoff,Collins,
Georgia Tech,2019,12,3,9,0,,,-10.8,-12,18.8,28.9,Geoff,Collins,
Louisiana Monroe,2002,9,3,6,0,,,-17.5,-19,27.4,42.2,Mike,Collins,
Ohio State,1998,12,11,1,0,1,2,27.4,30.8,43.3,13.1,John,Cooper,
Ohio State,1999,12,6,6,0,9,,9.9,15.2,35.7,22.1,John,Cooper,
Ohio State,2000,12,8,4,0,16,,13.8,17.5,35.7,19.8,John,Cooper,
San Diego State,2002,13,4,9,0,,,-7.8,-6.7,30.9,36.3,Tom,Craft,
San Diego State,2003,12,6,6,0,,,-1.7,-2.5,19.3,21.8,Tom,Craft,
San Diego State,2004,11,4,7,0,,,-2.6,-4,25.9,30,Tom,Craft,
San Diego State,2005,12,5,7,0,,,-0.6,-2.4,26.7,29.1,Tom,Craft,
Eastern Michigan,2014,12,2,10,0,,,-27.1,-25.9,17.8,42.7,Chris,Creighton,2013-12-11T00:00:00.000Z
Eastern Michigan,2015,12,1,11,0,,,-22.5,-19.7,25.6,45.5,Chris,Creighton,2013-12-11T00:00:00.000Z
Eastern Michigan,2016,13,7,6,0,,,-8.7,-8.2,28.3,36.6,Chris,Creighton,2013-12-11T00:00:00.000Z
Eastern Michigan,2017,12,5,7,0,,,-4.2,-5.3,22,26.4,Chris,Creighton,2013-12-11T00:00:00.000Z
Eastern Michigan,2018,13,7,6,0,,,-3.4,-2,25.5,26.1,Chris,Creighton,2013-12-11T00:00:00.000Z
Eastern Michigan,2019,13,6,7,0,,,-9.3,-8.6,29.3,37.8,Chris,Creighton,2013-12-11T00:00:00.000Z
Florida International,2007,12,1,11,0,,,-20.4,-32.9,9.6,40.9,Mario,Cristobal,
Florida International,2008,12,5,7,0,,,-11.1,-17.3,15,31.2,Mario,Cristobal,
Florida International,2009,12,3,9,0,,,-14.0,-30.3,12.6,42.6,Mario,Cristobal,
Florida International,2010,13,7,6,0,,,-6.3,-12.3,20.8,33.5,Mario,Cristobal,
Florida International,2011,13,8,5,0,,,-5.8,-8.5,17.5,26.9,Mario,Cristobal,
Florida International,2012,12,3,9,0,,,-11.4,-12.7,23.5,34.6,Mario,Cristobal,
Oregon,2018,13,9,4,0,24,,5.2,7.3,34.7,25.8,Mario,Cristobal,
Oregon,2019,14,12,2,0,11,5,21.0,19,35.6,15.5,Mario,Cristobal,
Mississippi State,2004,11,3,8,0,,,-5.8,-5.7,23.8,29.5,Sylvester,Croom,
Mississippi State,2005,11,3,8,0,,,-10.4,-7,16.7,23.7,Sylvester,Croom,
Mississippi State,2006,12,3,9,0,,,-4.4,-6.7,16.5,21.7,Sylvester,Croom,
Mississippi State,2007,13,8,5,0,,,4.7,2,20.2,17.8,Sylvester,Croom,
Mississippi State,2008,12,4,8,0,,,-8.0,-8.8,16.5,22.5,Sylvester,Croom,
Louisiana Tech,1998,12,6,6,0,,,-0.3,-0.3,44.2,42.6,Gary,Crowton,
BYU,2001,14,12,2,0,,25,7.5,9.6,47.7,40.3,Gary,Crowton,
BYU,2002,12,5,7,0,,,-8.6,-10.2,26.6,34.9,Gary,Crowton,
BYU,2003,12,4,8,0,,,-4.0,1.5,26.2,25.2,Gary,Crowton,
BYU,2004,11,5,6,0,,,5.1,7.8,34.4,28.3,Gary,Crowton,
Western Michigan,2005,11,7,4,0,,,-6.7,-13.9,22.9,36.9,Bill,Cubit,
Western Michigan,2006,13,8,5,0,,,-3.2,-7.1,14.8,21.4,Bill,Cubit,
Western Michigan,2007,12,5,7,0,,,-9.2,-12.1,22.4,34.1,Bill,Cubit,
Western Michigan,2008,13,9,4,0,,,-4.2,-3.1,28,29.8,Bill,Cubit,
Western Michigan,2009,12,5,7,0,,,-13.7,-12,21.8,33.6,Bill,Cubit,
Western Michigan,2010,12,6,6,0,,,-5.0,-4.5,25.1,30.2,Bill,Cubit,
Western Michigan,2011,13,7,6,0,,,-1.0,-0.3,30.8,33.2,Bill,Cubit,
Western Michigan,2012,12,4,8,0,,,-12.7,-9.8,25.4,33,Bill,Cubit,
Illinois,2015,12,5,7,0,,,-1.5,2.7,22.7,20.2,Bill,Cubit,
Ole Miss,1998,1,1,0,0,,,-0.2,-1.4,27.6,29,David,Cutcliffe,
Ole Miss,1999,12,8,4,0,,22,10.8,12.7,33.5,22.1,David,Cutcliffe,
Ole Miss,2000,12,7,5,0,18,,2.0,4,36.1,33.5,David,Cutcliffe,
Ole Miss,2001,11,7,4,0,,,5.7,5.6,40.6,36.6,David,Cutcliffe,
Ole Miss,2002,13,7,6,0,,,3.9,5.4,34.2,30.4,David,Cutcliffe,
Ole Miss,2003,13,10,3,0,,13,11.3,14.5,40.1,28.1,David,Cutcliffe,
Ole Miss,2004,11,4,7,0,,,-2.5,-1.6,26.6,28.2,David,Cutcliffe,
Duke,2008,12,4,8,0,,,-0.3,-6.7,17.8,24.9,David,Cutcliffe,
Duke,2009,12,5,7,0,,,-0.3,-6.1,22.5,28.4,David,Cutcliffe,
Duke,2010,12,3,9,0,,,-6.1,-9.6,23.8,34.3,David,Cutcliffe,
Duke,2011,12,3,9,0,,,-8.4,-13.3,23.1,35.5,David,Cutcliffe,
Duke,2012,13,6,7,0,,,-5.1,-7.1,28.3,36.4,David,Cutcliffe,
Duke,2013,14,10,4,0,,23,6.5,5,32,27.2,David,Cutcliffe,
Duke,2014,13,9,4,0,,,7.7,7,29.6,25.1,David,Cutcliffe,
Duke,2015,13,8,5,0,,,3.0,3.4,27,21.5,David,Cutcliffe,
Duke,2016,12,4,8,0,,,-1.0,-2.8,26.8,27.6,David,Cutcliffe,
Duke,2017,13,7,6,0,,,8.3,6.1,25.5,19.2,David,Cutcliffe,
Duke,2018,13,8,5,0,,,6.4,5,30.5,25,David,Cutcliffe,
Duke,2019,12,5,7,0,,,-2.2,-1.8,19.7,23,David,Cutcliffe,
Cincinnati,2004,12,7,5,0,,,1.8,7.1,36.5,31.7,Mark,Dantonio,
Cincinnati,2005,11,4,7,0,,,-9.4,-9.9,18.4,28.2,Mark,Dantonio,
Cincinnati,2006,12,7,5,0,,,4.1,7.9,23.6,16.7,Mark,Dantonio,
Michigan State,2007,13,7,6,0,,,7.6,10,32.1,22.5,Mark,Dantonio,
Michigan State,2008,13,9,4,0,,24,6.4,6.6,24.9,19.8,Mark,Dantonio,
Michigan State,2009,13,6,7,0,,,2.5,8.7,32.1,24.5,Mark,Dantonio,
Michigan State,2010,13,11,2,0,,14,7.2,13.8,34.7,23.3,Mark,Dantonio,
Michigan State,2011,14,11,3,0,17,11,13.0,20.2,33.5,14.7,Mark,Dantonio,
Michigan State,2012,13,7,6,0,13,,6.2,12.4,21.3,10.2,Mark,Dantonio,
Michigan State,2013,14,13,1,0,,3,15.9,19.7,28.9,11.6,Mark,Dantonio,
Michigan State,2014,13,11,2,0,8,5,20.0,24.1,42.5,17.9,Mark,Dantonio,
Michigan State,2015,14,12,2,0,5,6,14.0,15.6,35.7,20.6,Mark,Dantonio,
Michigan State,2016,12,3,9,0,12,,1.1,7.4,31,24.1,Mark,Dantonio,
Michigan State,2017,13,10,3,0,,15,12.8,13.8,27.7,15.1,Mark,Dantonio,
Michigan State,2018,13,7,6,0,11,,6.2,11.5,22,10.8,Mark,Dantonio,
Michigan State,2019,13,7,6,0,18,,5.1,7.2,24.4,16.1,Mark,Dantonio,
Western Michigan,1998,11,7,4,0,,,-10.3,-11.3,32.7,40.6,Gary,Darnell,
Western Michigan,1999,12,7,5,0,,,-5.1,-1.2,35.2,35.9,Gary,Darnell,
Western Michigan,2000,12,9,3,0,,,10.1,13.4,30.3,17.5,Gary,Darnell,
Western Michigan,2001,11,5,6,0,,,-5.2,-1.4,29.2,30.9,Gary,Darnell,
Western Michigan,2002,12,4,8,0,,,-8.5,-6.8,28.8,34.4,Gary,Darnell,
Western Michigan,2003,12,5,7,0,,,-8.4,-10.2,30.1,38,Gary,Darnell,
Western Michigan,2004,11,1,10,0,,,-24.3,-21.7,29.9,44.8,Gary,Darnell,
Notre Dame,1998,12,9,3,0,22,22,11.1,12.8,35,23.4,Bob,Davie,
Notre Dame,1999,12,5,7,0,18,,8.4,12.4,39.7,29.7,Bob,Davie,
